Address,latitude,longtitude,bedrooms,Baths,Space,Price,Description,School Index,Hos Index,Market Index,Crime Index,County
3378 Hickory Ln,33.870668,-84.694055,3,2.5,"1,730","$189,900 ","3 bed, 2.5 bath townhouse in 3378 Hickory Ln",29.48859894,32.2906104,36.26530747,0.562716222,Cobb
6209 Benbrooke Dr NW,33.985726,-84.733539,5,4.5,"4,088","$395,000 ","5 bed, 4.5 bath townhouse in 6209 Benbrooke Dr NW",36.01028768,39.1830978,44.42765572,0.443456239,Cobb
1671 Stilesboro Ridge Dr NW,33.995461,-84.636661,5,3,"3,727","$269,950 ","5 bed, 3 bath townhouse in 1671 Stilesboro Ridge Dr NW",25.76402957,24.21068444,35.88667446,0.550180223,Cobb
755 Pastel Dr SW,33.913246,-84.575782,4,2,"1,388","$149,900 ","4 bed, 2 bath townhouse in 755 Pastel Dr SW",20.18842996,19.5116895,26.09747881,0.790681199,Cobb
1218 Church St SE,33.881404,-84.518127,2,1.5,851,"$138,000 ","2 bed, 1.5 bath townhouse in 1218 Church St SE",16.70050555,11.50487456,19.15758842,1.106849657,Cobb
4854 Registry Walk NW,33.978687,-84.690444,4,5,"6,076","$465,000 ","4 bed, 5 bath townhouse in 4854 Registry Walk NW",29.05979459,33.42319718,39.96973947,0.495692264,Cobb
5204 Old Mountain Ct,33.955989,-84.702125,5,3.5,"5,005","$550,000 ","5 bed, 3.5 bath townhouse in 5204 Old Mountain Ct",30.62736312,34.33484751,40.0981349,0.496667167,Cobb
1601 Shamrock Trl SE,33.853874,-84.505707,5,2.5,"3,158","$310,000 ","5 bed, 2.5 bath townhouse in 1601 Shamrock Trl SE",17.07533257,8.484878979,16.47464121,1.33391977,Cobb
281 Woodview Ln SE,33.876243,-84.545478,3,2,"1,125","$225,900 ","3 bed, 2 bath townhouse in 281 Woodview Ln SE",17.46151479,15.55747243,21.43494103,0.997472096,Cobb
3522 Butler Springs Trce NW,34.032922,-84.654378,4,2.5,"2,906","$232,000 ","4 bed, 2.5 bath townhouse in 3522 Butler Springs Trce NW",27.86698525,31.56630418,39.51575309,0.493496351,Cobb
2858 Lost Lakes Way,33.882831,-84.691528,5,3,"3,627","$309,000 ","5 bed, 3 bath townhouse in 2858 Lost Lakes Way",28.38073063,31.99051888,36.35703149,0.559980611,Cobb
1995 N Landing Way,34.066278,-84.492458,3,2,"1,612","$185,000 ","3 bed, 2 bath townhouse in 1995 N Landing Way",21.65309868,26.20368354,30.24411647,0.60651479,Cobb
7108 Wade Rd,33.781894,-84.584539,4,3.5,"3,352","$299,900 ","4 bed, 3.5 bath townhouse in 7108 Wade Rd",21.45527529,21.73424389,22.18672631,1.010129435,Cobb
3568 Lake Dr SE,33.866462,-84.528805,4,3,"3,336","$349,900 ","4 bed, 3 bath townhouse in 3568 Lake Dr SE",16.87496047,12.01618313,19.36891429,1.11852925,Cobb
1811 Tilliewood Trl NE,34.047732,-84.496065,5,3.5,"2,464","$300,000 ","5 bed, 3.5 bath townhouse in 1811 Tilliewood Trl NE",20.35526914,24.78338196,28.97366061,0.638322161,Cobb
825 Flagstone Way,34.041084,-84.785293,4,2.5,"2,757","$264,900 ","4 bed, 2.5 bath townhouse in 825 Flagstone Way",46.66591485,47.29329294,51.86804432,0.374405651,Cobb
1051 Mill Dr,33.975196,-84.501191,2,2.5,"1,682","$152,000 ","2 bed, 2.5 bath townhouse in 1051 Mill Dr",19.5902318,19.0895369,23.86318432,0.80645768,Cobb
2350 Monterey Dr NE,33.959833,-84.481932,3,2.5,"1,862","$274,999 ","3 bed, 2.5 bath townhouse in 2350 Monterey Dr NE",16.38605824,17.63498725,21.44912979,0.892108367,Cobb
1811 Brackendale Rd NW,33.998447,-84.680152,6,5,"4,019","$399,900 ","6 bed, 5 bath townhouse in 1811 Brackendale Rd NW",30.02960077,32.78007434,39.95880056,0.493256941,Cobb
1014 Hillsdale St SE,33.88526,-84.523806,3,2,"2,008","$350,000 ","3 bed, 2 bath townhouse in 1014 Hillsdale St SE",15.03770662,12.94750134,19.89279252,1.062871697,Cobb
398 Promenade Ct SW,33.937423,-84.562724,2,1.5,"1,080","$79,900 ","2 bed, 1.5 bath townhouse in 398 Promenade Ct SW",18.23106181,18.55704429,26.2325016,0.773003419,Cobb
3600 Country Estate Dr NW,33.982833,-84.660583,4,2.5,"2,544","$335,000 ","4 bed, 2.5 bath townhouse in 3600 Country Estate Dr NW",27.97739267,29.02407443,37.37811653,0.53042846,Cobb
2709 Rustling Pines Ct,34.016818,-84.486427,6,5,"5,170","$600,000 ","6 bed, 5 bath townhouse in 2709 Rustling Pines Ct",19.3050647,22.10268267,26.0091338,0.714562237,Cobb
6001 Ashley Way NW,34.035819,-84.610951,3,1.5,"1,075","$124,900 ","3 bed, 1.5 bath townhouse in 6001 Ashley Way NW",27.41065785,27.49486506,36.09371437,0.537640021,Cobb
290 Juliet Ln SW,33.926371,-84.559714,3,2.5,"1,320","$110,000 ","3 bed, 2.5 bath townhouse in 290 Juliet Ln SW",18.81492649,18.45026002,25.35281457,0.806083073,Cobb
3882 Streamside Dr SE,33.94324,-84.436903,4,5.5,"4,837","$825,000 ","4 bed, 5.5 bath townhouse in 3882 Streamside Dr SE",18.61702519,15.71929187,17.3607915,1.046660934,Cobb
